               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10392,            0.025465,            0.027234,           0.0012654,             0.50104,           0.0018195,          0.00062233,            0.096515,            0.014957,            0.026508,              0.0793,              0.0023,              0.0023
                   1,            0.099216,            0.026073,            0.026325,           0.0011889,             0.24636,           0.0013653,          0.00034119,            0.092246,            0.015457,            0.025644,            0.057688,           0.0046884,           0.0046884
                   2,            0.095499,            0.027243,            0.025357,           0.0015224,             0.22713,           0.0011122,          0.00025698,             0.08989,            0.015847,            0.024622,            0.036065,           0.0070649,           0.0070649
                   3,            0.092206,            0.028723,            0.024298,          0.00089414,            0.085759,          0.00060881,          9.6355e-05,            0.088664,            0.016041,            0.023563,            0.014429,           0.0094295,           0.0094295
                   4,            0.091401,            0.027487,            0.023456,           0.0012756,             0.16268,           0.0020604,          0.00042427,            0.087725,            0.015805,            0.022125,            0.009901,            0.009901,            0.009901
                   5,            0.089393,             0.02951,            0.022189,              0.5329,            0.019231,            0.012122,           0.0029254,            0.088904,            0.015401,            0.023523,            0.009901,            0.009901,            0.009901
                   6,            0.088577,            0.026919,            0.021344,            0.023885,            0.038462,            0.011571,            0.004786,             0.10529,            0.012568,            0.060205,           0.0098763,           0.0098763,           0.0098763
                   7,            0.088938,            0.028832,             0.01946,             0.52792,            0.038462,            0.021826,           0.0092204,             0.10521,            0.012301,            0.059158,           0.0098515,           0.0098515,           0.0098515
                   8,            0.086448,            0.028307,            0.018084,             0.55301,            0.057692,             0.02122,           0.0055644,             0.10419,            0.012249,            0.044562,           0.0098268,           0.0098268,           0.0098268
                   9,            0.086789,            0.029592,            0.016763,           0.0011804,             0.31653,            0.027362,            0.014826,            0.092197,             0.01458,            0.023193,            0.009802,            0.009802,            0.009802
                  10,            0.085713,            0.028569,            0.016762,            0.001362,             0.34823,            0.020822,           0.0068193,            0.088537,            0.015381,             0.01673,           0.0097773,           0.0097773,           0.0097773
                  11,            0.087949,            0.027562,            0.015886,           0.0016684,             0.33108,           0.0055384,           0.0011599,            0.085962,            0.015888,             0.01271,           0.0097525,           0.0097525,           0.0097525
                  12,            0.085473,            0.028776,            0.016597,           0.0021066,             0.42152,            0.024338,           0.0066043,            0.086612,             0.01588,            0.013204,           0.0097278,           0.0097278,           0.0097278
                  13,            0.085996,            0.028208,            0.014097,           0.0022796,             0.46674,            0.012837,           0.0030527,            0.085739,             0.01626,            0.012334,            0.009703,            0.009703,            0.009703
                  14,            0.084182,            0.030252,            0.013713,           0.0022142,             0.36383,            0.022399,           0.0080803,            0.086056,            0.016065,            0.012983,           0.0096783,           0.0096783,           0.0096783
                  15,            0.083897,            0.028417,            0.014459,           0.0022076,             0.36383,           0.0092856,           0.0015391,            0.084734,            0.016423,            0.012233,           0.0096535,           0.0096535,           0.0096535
                  16,             0.08242,            0.028375,            0.013318,           0.0037028,             0.49376,            0.009906,            0.002702,            0.083868,            0.016652,            0.012763,           0.0096288,           0.0096288,           0.0096288
                  17,             0.08147,            0.031433,            0.012907,            0.003282,             0.48701,            0.014382,           0.0029117,            0.087355,            0.016144,            0.011891,            0.009604,            0.009604,            0.009604
                  18,            0.081957,            0.029233,            0.012348,           0.0028353,             0.50052,            0.016122,           0.0031814,            0.086715,            0.015973,            0.010747,           0.0095793,           0.0095793,           0.0095793
                  19,            0.080336,             0.02907,            0.013932,           0.0029813,              0.5052,            0.012638,            0.003582,             0.08677,            0.016091,            0.010386,           0.0095545,           0.0095545,           0.0095545
                  20,            0.081584,            0.029324,             0.01347,             0.00361,             0.50052,           0.0070904,           0.0018997,            0.085098,            0.016273,            0.011123,           0.0095298,           0.0095298,           0.0095298
                  21,            0.079452,            0.030544,            0.013059,           0.0034483,             0.59304,            0.010852,           0.0023313,            0.083179,            0.016376,            0.010322,            0.009505,            0.009505,            0.009505
                  22,            0.078759,            0.030084,            0.012252,           0.0029083,             0.51195,            0.016339,            0.004328,            0.086048,            0.015936,            0.010009,           0.0094803,           0.0094803,           0.0094803
