               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096405,             0.10057,            0.060865,           0.0016237,             0.16762,           0.0018682,          0.00048661,            0.079907,            0.081354,            0.059677,            0.070429,           0.0032857,           0.0032857
                   1,            0.087941,             0.10795,            0.058533,           0.0014966,             0.15182,           0.0027649,           0.0006832,            0.077669,            0.081984,              0.0586,            0.040363,           0.0065535,           0.0065535
                   2,            0.083324,              0.0874,            0.054512,             0.15801,             0.14957,             0.06178,            0.015896,            0.085541,            0.060557,            0.053902,            0.010232,           0.0097553,           0.0097553
                   3,            0.076916,            0.079641,            0.047443,             0.39309,             0.29869,            0.097556,            0.024546,            0.081616,            0.083544,            0.050335,            0.009703,            0.009703,            0.009703
                   4,            0.069629,            0.074406,            0.039554,             0.66756,             0.39531,             0.33596,             0.11004,            0.059093,            0.050531,            0.032382,            0.009703,            0.009703,            0.009703
                   5,            0.066324,            0.070452,            0.033537,             0.76077,             0.47419,             0.41604,             0.18693,            0.054236,            0.061728,            0.031075,            0.009604,            0.009604,            0.009604
                   6,            0.061099,            0.066197,            0.029647,             0.79424,             0.51032,               0.592,             0.23282,            0.049249,            0.037723,            0.022384,            0.009505,            0.009505,            0.009505
                   7,            0.057936,            0.064217,            0.025381,             0.56337,              0.7682,             0.60507,             0.25002,            0.048374,            0.036706,            0.017377,            0.009406,            0.009406,            0.009406
                   8,            0.057022,            0.060746,            0.021854,             0.77663,              0.7928,             0.75527,             0.40318,            0.038386,            0.035264,            0.013565,            0.009307,            0.009307,            0.009307
                   9,            0.054051,             0.06323,            0.019366,             0.77326,             0.79148,             0.72267,             0.30357,            0.046123,            0.034451,            0.012291,            0.009208,            0.009208,            0.009208
                  10,            0.051676,            0.060324,            0.017137,             0.80186,             0.83437,             0.78173,             0.35917,             0.04178,             0.03313,            0.010455,            0.009109,            0.009109,            0.009109
                  11,            0.050057,            0.058975,            0.015209,             0.81029,             0.82494,             0.75686,             0.30333,            0.044749,            0.033801,           0.0098421,             0.00901,             0.00901,             0.00901
                  12,            0.050216,            0.059112,            0.014835,             0.89118,             0.84679,             0.82666,             0.42877,            0.037285,             0.03298,           0.0097496,            0.008911,            0.008911,            0.008911
                  13,            0.049274,            0.057446,            0.014193,             0.91956,             0.83612,              0.8289,             0.38463,            0.040802,              0.0326,           0.0092155,            0.008812,            0.008812,            0.008812
                  14,            0.046687,            0.057093,             0.01321,             0.93507,             0.85907,             0.85749,             0.53392,            0.030066,            0.031031,           0.0087373,            0.008713,            0.008713,            0.008713
                  15,            0.046926,            0.056024,            0.012613,             0.94005,             0.85106,             0.85103,             0.42622,            0.036111,            0.030517,           0.0079456,            0.008614,            0.008614,            0.008614
                  16,            0.045436,            0.054349,            0.011272,             0.96215,             0.87153,             0.86532,             0.55081,             0.02939,            0.029878,           0.0067669,            0.008515,            0.008515,            0.008515
                  17,            0.044873,             0.05568,             0.01093,             0.93467,             0.86291,             0.84801,             0.43112,            0.038162,            0.032087,           0.0062457,            0.008416,            0.008416,            0.008416
